"filename", "language", "TypeScript", "JavaScript", "XML", "CSS", "SCSS", "comment", "blank", "total"
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/authentication/authentication.component.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/authentication/authentication.styles.jsx", "JavaScript", 0, 7, 0, 0, 0, 6, 2, 15
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/categories-preview/categories-preview.component.jsx", "JavaScript", 0, 27, 0, 0, 0, 0, 3, 30
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/category/category.component.jsx", "JavaScript", 0, 37, 0, 0, 0, 0, 5, 42
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/category/category.styles.jsx", "JavaScript", 0, 13, 0, 0, 0, 12, 3, 28
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/checkout/checkout.component.jsx", "JavaScript", 0, 44, 0, 0, 0, 0, 5, 49
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/checkout/checkout.styles.jsx", "JavaScript", 0, 28, 0, 0, 0, 27, 11, 66
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/home/home.component.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/navigation/navigation.component.jsx", "JavaScript", 0, 48, 0, 0, 0, 0, 6, 54
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/navigation/navigation.styles.jsx", "JavaScript", 0, 30, 0, 0, 0, 24, 13, 67
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/shop/shop.component.jsx", "JavaScript", 0, 19, 0, 0, 0, 0, 6, 25
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/shop/shop.styles.jsx", "JavaScript", 0, 7, 0, 0, 0, 6, 3, 16
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/shop-data.js", "JavaScript", 0, 238, 0, 0, 0, 0, 1, 239
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.action.js", "JavaScript", 0, 53, 0, 0, 0, 0, 11, 64
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.reducer.js", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.selector.js", "JavaScript", 0, 19, 0, 0, 0, 0, 6, 25
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.types.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.action.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 8, 36
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.reducer.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 5, 43
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.saga.js", "JavaScript", 0, 21, 0, 0, 0, 0, 5, 26
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.selector.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 5, 26
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.types.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 4, 23
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/middleware/logger.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
